ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,NORTHING,EASTING,ENGLISH ADDRESS,中文地址,TELEPHONE,FAX NUMBER,OPENING HOURS,EMAIL ADDRESS,WEBSITE
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,815946,834149,"Basement, Yu To Sang Building, 37 Queen's Road Central, Central",中環皇后大道中37號余道生行地庫,2526 3770,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,834547,820449,"Shop 111-112, 1/F, Long Ping Shopping Centre, Long Ping Estate, Yuen Long",元朗朗屏?朗屏商場1樓111-112號舖,2478-1145,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Shell,蜆殼油站,829176,815690,"Area 30A, San Hui, Tuen Mun",屯門新墟30號A區,2459 8130,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,DSC,德爾斯,815721,837256,"13/F, Windsor House, 311 Gloucester Road, Causeway Bay",銅鑼灣告士打道311號皇室堡13樓全層,2915 6938 / 2915 6663,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Christian Action - Sheung Shui Choi Yuen Estate Service Centre,基督教勵行會 - 上水彩園服務中心,840245,831010,"No. 325-328, The Podium, Choi Yuk House, Choi Yuen Estate, Sheung Shui, New Territories",新界上水彩園村彩玉樓3樓平台325-328室,2456 2220,,Please call Christian Action Hotline for necessary arrangement. ,secondhand@christian-action.org.hk,http://www.christian-action.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,827040,838982,City One station,第一城站,2637 5741,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Wilson Communications,衛訊電訊,833776,820962,"Shop 3A&B, G/F, Hing Fat Building, 3 Yu King Square, Yuen Long",元朗裕景坊興發樓地下3號A&B舖,2442 7388,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,815389,841144,"Shop No. 204, 2/F, Yiu Tung Shopping Centre, Yiu Tung Estate, Shau Kei Wan",筲箕灣耀東?耀東購物中心2樓204號舖,2567-1102,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,China Mobile Hong Kong,中國移動香港,822415,838834,"Shop 225, Level 2, Plaza Hollywood, Diamond Hill",鑽石山荷李活廣場2樓225號舖,2945 8888,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,818446.6,837622,"Shop Nos. G7A on G/F & 1B 12-14 on First Basement, Bauhinia Mansions, Whampoa Garden, Hung Hom",紅磡黃埔花園紫荊苑G7A號店與地庫1層1B 12-14,2774 2777,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,819616,841266,"Flat A, G/F, Flats A, C and E on M/F, Nam Tai Mansion, 50-68 Shui Wo Street, Kwun Tong",觀塘瑞和街50-68號南泰樓地下及閣樓A號舖,2304 1008,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Choi Tak Shopping Centre,彩德商場,821173,840018,"Choi Tak Shopping Centre, Ngau Tau Kok",牛頭角彩德商場,,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Pricerite,實惠,815348,836311,"177-179 Wanchai Rd., 1/F.",灣仔道177-179號一樓(交加里入口),2893 0514,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,834344,835974,"Shop No. P316, Kwong Fuk Shopping Centre, Kwong Fuk Estate, Tai Po",大埔廣福?廣福商場P316號舖,2653 5384,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,840273,831365,"Shop No.106, Level 1, Metropolis Plaza, Sheung Shui",上水新都廣場地下第1層106號舖,2673 5353,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,China Mobile Hong Kong,中國移動香港,820642,840287,"Shops S88-S89, 2/F, Amoy Plaza, 77 Ngau Tau Kok Road, Kowloon Bay",九龍灣牛頭角道77號淘大商場1期2樓S88-89舖,2945 8888,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,815608,835062,"Portion A of Shop Nos. 1-41 on Ground Floor of the Podium of Admiralty Centre, 18 Harcourt Road, Admiralty",金鐘夏愨道18號海富中心地下1-41號舖A部份,2520 1329,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,826344,829559,"Shop No. 11A-11B, Level 2, Discovery Park Shopping Centre, 398 Castle Peak Road, Tsuen Wan",荃灣青山公路398號愉景新城商場2樓11A-11B號舖,2670-9976,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,815309,842739,Heng Fa Chuen station,杏花?站,2921 5770,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,China Mobile Hong Kong,中國移動香港,821375,834715,"Shop A1, G/F, Kam Wah Mansion, 226-242 Cheung Sha Wan Road, Sham Shui Po",深水?長沙灣道226-242號金華大廈地下A1舖,2945 8888,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,834079,821633,Yuen Long station,元朗站,2256 2801,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,The Boys' & Girls' Clubs Association of Hong Kong,香港小童群益會,822056,832606,"4/F & 5/F, Mei Foo Government Complex, No. 33 Mei Lai Road, Sham Shui Po",深水?美荔道33號美孚政府綜合大樓四樓及五樓,2741 6294,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,822691,830925,"12/F., Asia Terminals Centre B, Berth 3, Kwai Chung",葵涌三號碼頭亞洲貨櫃物流中心B座12字樓,2419 0262,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,The Hong Kong Federation of Youth Groups – Jockey Club Wang Tau Hom Youth S.P.O.T.,香港青年協會 - 賽馬會橫頭磡青年空間,822324.7,837253.5,"G/F, Wang Kwong House, Wang Tau Hom Estate, Kowloon",九龍黃大仙橫頭磡?宏光樓地下101-105 及 110 -112號,2337 7189,,Wed 2:00pm - 10:00pm,,
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,821882,832631,"Shop Nos. G03 on G/F., and 119 on 1/F., Mei Foo Plaza, Mei Foo Sun Chuen",美孚新?美孚廣場地下G03號舖及1樓119號舖,2148 3022,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,St. James' Settlement - Project Care Neighbourhood Elderly Centre,聖雅各福群會-懷愛長者鄰舍中心,826084,829814,"Unit 11-16, G/F, Wing Lok House, Fuk Loi Estate, Tsuen Wan, New Territories.",新界荃灣福來?永樂樓地下11-16號,2795 7038,2795 7018,Mon - Sat (9:00am - 4:30pm),weeegogreen@sjs.org.hk,http://weeegogreen.sjs.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,Pricerite,實惠,825743,829514,"Shop B101 - B108, Basement, Tsuen Wan Plaza",荃灣廣場地庫B101 - B108 號舖,2405 0271,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,FORTRESS,豐澤,821339,834505,"Unit 501A, 5/F, Dragon Centre, 37K Yen Chow Street, Sham Shui Po",深水?欽州街37K西九龍中心5樓501A號舖,2361 0212,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,PanaShop,PanaShop,822038,837358,"Shop 1160, Lok Fu Plaza,198 Junction Rd., Wang Tau Hom",橫頭磡聯合道198號樂富廣場1160號舖,2336 1632,,,,
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,834157,818408,Tin Shui Wai station,天水圍站,2296 2801,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,"Wing Kwong Electrical Co., Ltd. (WC Thomson Road Shop)",永光電器行有限公司(灣仔譚臣道店),815375,835976,"G/F, 113 Thomson Road, Wan Chai",灣仔譚臣道113號地下,2575 6500,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,830295,815884,Siu Hong station,兆康站,2214 2801,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,829003.9,838942.5,Racecourse station,馬場站,2604 8809,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Pricerite,實惠,827550,815462,"Shop 7, Yau Oi Shopping Centre, Yau Oi Estate, Tuen Mun",屯門友愛村友愛商場7號舖,2430 7769,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,ThreeSixty,ThreeSixty,818461.1,834710.3,"Shop 1090, 1/F, Elements, 1 Austin Road West, Tsim Sha Tsui",尖沙咀柯士甸道西1號圓方1樓1090號舖,2299 1133,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Crown Motors Ltd,皇冠汽車有限公司,833890,818283,"25 Kiu Fat Street, Lot. 410, Kiu Tau Wai, Ping Shan, Yuen Long",元朗屏山橋頭圍410地段橋發街25號,2493 0713,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Boys' Brigade,香港基督少年軍 - 臻睦中心荃灣服務站,825542,830712.1,"Flat I 7, G/F, Tak Tai Building, 35-43 Texaco Road, Tsuen Wan",荃灣德士古道35-43號德泰大廈地下 I 7號,2423 9001,,Mon to Fri 9:00am-6:00pm (except public holidays),,
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,822967,831304,"Shop C201, C203 & C205, 2/F, Block C at Cho Yiu Centre, Cho Yiu Estate, Kwai Chung","葵涌祖堯?祖堯坊C庭2樓C201,C203&C205號舖",2785 9321,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,821217,834793,"Flats A, B, C, D, E & F, M/F, New Pei Ho Building, 104 Pei Ho Street & 178 Apliu Street, Sham Shui Po","深水?北河街104號及鴨寮街178號新北河大樓閣樓A,B,C,D,E及F單位",2386 4460,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,817745,835840,"Basement, L & D House, 2-4A Cameron Road, Tsim Sha Tsui",尖沙咀金馬倫道2-4A利達行地庫,2721 4092,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Pricerite,實惠,820571,835608,"G/F, 1/F to 3/F, Merlin Building, 181-183 Prince Edward Road West, Prince Edward",太子太子道西181-183號美輪大廈地下及1至3樓,2395 0772,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,CHKCI,香港電腦商會,822188,833164,"Unit D, 23/F, Ford Glory Plaza, 37-39, Wing Hong Street, Lai Chi Kok",荔枝角永康街37-39號福源廣場23樓D室,2785 8867,,"Mon - Fri (9:30am - 6:30pm), Sat (9:30am - 1:00pm), Closed on Public Holidays",,
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,812328,833355,"Shop 1 & Shop 2, Ground Floor, Sun Fung Court, No. 15 Ka Wo Street, Tin Wan",田灣嘉禾街15號順豐大廈地下1及2號舖,2580-1314,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Bo Charity Foundation Limited,小寶慈善基金有限公司,814167,843535,"Room 509, Honour Industrial Centre, 6 Sun Yip Street, Siu Sai Wan, Hong Kong",香港小西灣新業街6號安力工業中心509室,Ms. Diana Man (Tel: 3118 2348),2577 3396,,info@bofoundation.org.hk,http://www.foodangel.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,EPD,環保署,815774.9,830271.4,"4/F, 88 Victoria Road, Kennedy Town",堅尼地城域多利道88號4樓,2872 1888,,"Mon - Fri (9:00am - 12:30pm, 1:30pm - 5:00pm), Closed on Public Holidays",,
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,826737,837304,"Shop Nos. 8 & 20, Level 3, Hilton Plaza, Shatin",沙田希爾頓中心3樓8及20號舖,2688 6755,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,China Mobile Hong Kong,中國移動香港,816699,838092,"G/F, Sunny House, 268-270 King's Road, North Point",北角英皇道268-270號順利大廈地下,2945 8888,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,China Mobile Hong Kong,中國移動香港,839202,832418,"Shop 47, Level 2, Fanling Town Centre, Fanling",粉嶺名都商場2樓47號舖,2945 8888,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,St. James' Settlement - WEEE GO GREEN Outlet,聖雅各福群會-環保電器坊,830295,815884,"Shop 3-4, Siu Hong MTR Station, Tuen Mun, New Territories.",新界屯門港鐵兆康站3-4號鋪,2795 7038,2795 7018,"Tue - Thu (11:00am - 7:00pm), Fri - Sun (12:00noon - 7:00pm)",weeegogreen@sjs.org.hk,http://weeegogreen.sjs.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,Environmental Resource Centre,環境資源中心,840026.5,832933.2,"2/F, Government Accommodations, Grand Regentville, 9 Wo Mun Street, Luen Wo Hui, Fanling",粉嶺聯和墟和滿街9 號御庭軒政府房屋2樓,2600 4016,,"Tue - Sun (10:00am – 5:00pm), Closed on Public Holidays",,
Recycling Organisations and Collection Points,回收機構及收集點,FORTRESS,豐澤,839202,832418,"Shop 28C, Podium Level 2, Fanling Town Centre, Fanling",粉嶺名都商場2樓28C舖,2675 0656,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,FORTRESS,豐澤,833850,821106,"1/F, Kwong Wah Plaza, Tai Tong Rd, Yuen Long",元朗大棠路光華廣場1樓,2478 4897,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Friends of the Earth (Hong Kong) - Wellent System Consultants Ltd.,香港地球之友 - 偉倫電腦,816367,833801,"G/F, Sam Cheong Building, 216 Des Voeux Road Central, Sheung Wan,Hong Kong",香港上環德輔道中216號三昌大廈地鋪 ,2868 1898,2529 2777,Mon-Sun (11:00am - 7:00pm),foehk@foe.org.hk,http://www.foe.org.hk 
Recycling Organisations and Collection Points,回收機構及收集點,PLK Family and Children Integrated Services Centre,保良局 兒童組/綜合家庭服務,815914.2,831009.9,"66 Leighton Road, Causeway Bay, H.K.",香港銅鑼灣?頓道66 號,2277 8171,,Mon to Fri 9:00am-5:00pm,,
Recycling Organisations and Collection Points,回收機構及收集點,Watsons,屈臣氏,839202,832418,"Shop No. 28B, Level 2, Fanling Town Centre, Fanling",粉嶺名都廣場二樓28號B舖,2144 4517 / 2144 4925,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,822004,833367,"Unit 286B-289, 291 & 293 on 2/F and 325-328 on 3/F, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok","荔枝角長沙灣道833號長沙灣廣場二樓286B-289, 291, 293及三樓325-328號舖",2743 4245,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Watsons,屈臣氏,835301,818477,"Shop No.139-141, 1/F, Phase 1, Kingswood Ginza, Kingswood Villas, Tin Shui Wai",天水圍嘉湖山莊嘉湖銀座第一期一樓 139-141號舖,2123 9901 / 2123 9935,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Makita,牧田,828020,839493,"3/F, Grandtech Centre, 8 On Ping Street, Shatin",沙田安平街8號偉達中心3樓,2648 8683,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,820642,840287,"Shop Nos. G246-253, Ground Floor, Amoy Plaza, Phase II, 77 Ngau Tau Kok Road, Kowloon Bay",九龍灣牛頭角道77號淘大花園商場第2期地下G246-253號舖,2798 6967,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Chu Kong Plan,曙光計劃,828382,814869,"Room C2, 6/F, Blk C, Tuen Mun Industrial Centre, 2 San Ping Circuit, Tuen Mun, N.T.  ",新界屯門新平街2號屯門工業中心C座6樓C2室,2247 5988,2307 8418,Mon-Sat (9:00am-6:00pm),info@chukongplan.org.hk,http://www.chukongplan.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,819995,837340,"Shop No. 1 on G/F & Whole of 1/F, Delight Court, 418 Ma Tau Wai Road, To Kwa Wan",土瓜灣馬頭圍道418號樂意居地下一號鋪及一樓全層,2769 7811,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Tak Cheong TV Water Electric Eng.,德昌電視水電工程,822182,837332,"Shop No. D047, Phase 1, Living Plus, Lok Fu Plaza, Wang Tau Hom",橫頭磡樂富廣場匯樂里D047號舖,,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Hong Chi Association - Hong Chi Fu Shin Centre,匡智會 - 匡智富善中心,834953,836056,"Unit P1, Podium, Fu Shin Shopping Centre, Fu Shin Estate, Tai Po, New Territories",新界大埔富善?富善商場三樓平台P1單位,"3406 3302, Ms. Chong",3406 3322 ,"Mon - Fri (9:00am - 5:15pm), Sat (9:00am - 12:00pm)",gbrc_po@hongchi.org.hk,http://www.hongchi.org.hk/glassrecycling
Recycling Organisations and Collection Points,回收機構及收集點,Tung Po Hong - Tak Tin,通寶行-德田,819032,842563,"Shop No. G3, Tak Tin Shopping Centre, Tak Tin Estate, Lam Tin",藍田德田?德田商場G3號舖,,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,821378,834950,"G/F, 37 Un Chau Street, Sham Shui Po",深水?元州街37號地下,2708 2001,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Samsung,三星,819915,835416,"Suite 9-12, 10/F, Office Tower Langham Place, Mongkok",旺角朗豪坊辦公大樓10樓09至12室,3698 4698,,,recycling_helpline@epd.gov.hk ,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,821365,835568,"Shop B2 & B3 on Ground Floor, Ample Building, 1-13 Woh Chai Street, Shek Kip Mei",石硤尾窩仔街1-13號仁寶大?B2及B3地鋪,2784 0215,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,PRICERITE,實惠,824240,831088,"Shop No. 360-362, Level 3, Metro Plaza, Kwai Fong",葵芳新都會廣場三樓360-362號舖,2410 0567,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,McDonald's,麥當勞,834223,835124,"Whole Basement, Shops A, D & E on G/F, Po Hong Mansion, 70-78 Kwong Fuk Road, Tai Po","大埔墟廣福道70-78號寶康大廈地庫及地下A, D, E舖",2653 8411,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,St. James Settlement - Central & Western District Elderly Community Centre,聖雅各福群會-中西區長者地區中心,816346,833460,"11/F, Sheung Wan Complex, 345 Queen's Road Central, Sheung Wan, Hong Kong",香港上環皇后大道中345號上環市政大廈11樓,2795 7038,2795 7018,Mon-Sat (9:00am - 5:00pm),weeegogreen@sjs.org.hk,http://weeegogreen.sjs.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,Japan Home Centre,日本城,824593,831215,"Shop 107-109, 1/F, Hang King Shopping Arcade, 9 Wing Fong Road, Kwai Fong",葵芳榮芳街9號恆景商場一樓107-109號舖,2421-9720,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_fluo_lamp&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,MTRC,港鐵公司,818309,835235,Austin station,柯士甸站,2314 5201,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
Recycling Organisations and Collection Points,回收機構及收集點,Caritas (Hong Kong) - Caritas Youth Centre (Stanley),香港明愛 - 赤柱明愛青少年綜合服務,809003,839644,"5/F, Stanley Plaza, Carmel Road, Stanley, Hong Kong",香港赤柱佳美道赤柱廣場5樓,2523 5187,2716 6951,"Mon: Off, Tue-Fri (2:00pm-10:00pm), Sat (10:00am-10:00pm),Sun (10:00am-2:00pm)",info@ccw.org.hk,http://www.ccw.org.hk
Recycling Organisations and Collection Points,回收機構及收集點,China Mobile Hong Kong,中國移動香港,825645,830002,"Shop 1, G/F, Kwong Fat Building, 260-276 Sha Tsui Road, Tsuen Wan",荃灣沙咀道260-276號廣發大廈地下1號舖,2945 8888,,,recycling_helpline@epd.gov.hk,https://www.wastereduction.gov.hk/apps/vicinity_result.jsp?collection_type=outlet&material_type=col_recharge_battery&district_id=0
